strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available,n_samples,precision,recall,f1_score,disk_percent,disk_available
fedavg,1,2.30253005027771,0.12485413998365402,0.936614453792572,0.6791132092475891,int8,5.787364959716797,232328,79.6,94.9,202047488,3428,0.6997962544675095,0.6791131855309218,0.676685674214688,100.0,0
fedavg,1,2.302572011947632,0.1435239166021347,1.7124028205871582,0.48191365599632263,int8,359.61915826797485,232328,87.3,95.5,175865856,3428,0.47188463177980206,0.48191365227537925,0.4006047597448377,19.2,51620380672
