strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available,n_samples,precision,recall,f1_score,disk_percent,disk_available
fedavg,2,1.9219685792922974,0.3220536708831787,0.4052194058895111,0.8856475949287415,int8,322.6581335067749,232328,88.1,94.8,204509184,3428,0.8904240223664118,0.8856476079346558,0.886417023752552,19.2,51618267136
fedavg,3,0.41075029969215393,0.8844807744026184,0.30084043741226196,0.9101517200469971,int8,29.254008293151855,232328,81.5,99.8,7938048,3428,0.9119644077922927,0.9101516919486581,0.9101744767562967,19.2,51618238464
fedavg,4,0.28686317801475525,0.9159860014915466,0.24322079122066498,0.9264877438545227,int8,88.15207266807556,232328,65.5,95.3,183795712,3428,0.927865750493146,0.926487747957993,0.9266684245446031,19.2,51618217984
fedavg,5,0.23811964690685272,0.9323220252990723,0.2108137309551239,0.9311552047729492,int8,21.38487958908081,232328,81.7,95.7,168525824,3428,0.9336319982558667,0.9311551925320887,0.9313175441363273,19.2,51617071104
