strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available,n_samples,precision,recall,f1_score,disk_percent,disk_available
fedavg,2,1.8687076568603516,0.5379229784011841,0.5724768042564392,0.8541423678398132,int8,56.3981249332428,232328,82.1,95.5,175722496,3428,0.8577179851939417,0.8541423570595099,0.8546817250626969,100.0,0
fedavg,3,0.5532266497612,0.8413068652153015,0.4814763069152832,0.8716452717781067,int8,35.22008538246155,232328,78.2,93.5,256040960,3428,0.8759380415679973,0.8716452742123687,0.8717236194123833,100.0,0
fedavg,4,0.44178691506385803,0.8693115711212158,0.3819392919540405,0.890315055847168,int8,22.109968900680542,232328,82.7,94.9,202035200,3428,0.8925065967231771,0.8903150525087514,0.8905095421993068,100.0,0
fedavg,5,0.3784249722957611,0.9031504988670349,0.3593064248561859,0.8926487565040588,int8,19.962197065353394,232328,50.7,96.6,134082560,3428,0.8963934869932858,0.8926487747957993,0.8932109071517254,100.0,0
