strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available,n_samples,precision,recall,f1_score,disk_percent,disk_available
fedavg,2,1.9445786476135254,0.3065268099308014,0.5456603169441223,0.8356643319129944,int8,321.92480301856995,232328,88.2,95.4,180244480,3428,0.8424315692990151,0.8356643356643356,0.834671333535075,19.2,51617165312
fedavg,3,0.5396499633789062,0.8496503233909607,0.4213401973247528,0.8706293702125549,int8,29.52015233039856,232328,80.8,99.9,4923392,3428,0.8739666952693766,0.8706293706293706,0.8709185803875578,19.2,51618238464
fedavg,4,0.41753190755844116,0.8752913475036621,0.3661981225013733,0.8892773985862732,int8,67.89951276779175,232328,78.5,94.7,206594048,3428,0.8921592576188135,0.8892773892773893,0.8881304244638418,19.2,51616010240
fedavg,5,0.357111394405365,0.8962703943252563,0.31393468379974365,0.8997669219970703,int8,20.072477102279663,232328,52.5,95.0,196415488,3428,0.9009129467526404,0.8997668997668997,0.8996757797254772,19.2,51614851072
