strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available,n_samples,precision,recall,f1_score,disk_percent,disk_available
fedavg,2,1.8808197975158691,0.5215869545936584,0.546949028968811,0.8308051228523254,int8,53.41444516181946,232328,82.3,94.3,224366592,3428,0.8351593819641134,0.8308051341890315,0.8293838121275929,100.0,0
fedavg,3,0.5058156251907349,0.8611435294151306,0.38975170254707336,0.8786464333534241,int8,32.957582235336304,232328,78.4,89.3,418615296,3428,0.8797214776438258,0.8786464410735122,0.8777943768598926,100.0,0
fedavg,4,0.38596370816230774,0.8879813551902771,0.3250729441642761,0.8996499180793762,int8,21.46363592147827,232328,81.2,94.6,210628608,3428,0.9018350878234056,0.8996499416569428,0.8994199395680132,100.0,0
fedavg,5,0.31884878873825073,0.9031504988670349,0.31241700053215027,0.900816798210144,int8,19.118781805038452,232328,50.6,96.6,135041024,3428,0.903169517818885,0.9008168028004667,0.9004709580982712,100.0,0
