strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available
fedavg,2,2.302593946456909,0.09541666507720947,0.3976108431816101,0.8858333230018616,float32,42.311856746673584,900136,83.6,94.7,209039360
fedavg,3,2.302593946456909,0.09541666507720947,0.3950119912624359,0.8845833539962769,float32,42.4463951587677,900136,87.2,94.0,236802048
fedavg,4,2.302593946456909,0.09541666507720947,0.33749234676361084,0.9008333086967468,float32,39.81041359901428,900136,47.7,95.3,184995840
fedavg,5,2.302593946456909,0.09541666507720947,0.6767212748527527,0.7900000214576721,float32,326.6034719944,900136,84.1,81.9,709578752
fedavg,2,2.3026256561279297,0.04208333417773247,0.38545864820480347,0.8858333230018616,float32,38.92306637763977,900136,84.6,89.2,423145472
fedavg,3,2.3026256561279297,0.04208333417773247,0.4051557779312134,0.878333330154419,float32,38.416221141815186,900136,89.9,90.7,363712512
fedavg,4,2.3026256561279297,0.04208333417773247,0.4102497100830078,0.8762500286102295,float32,38.5753972530365,900136,88.8,91.9,316178432
fedavg,5,2.3026256561279297,0.04208333417773247,0.3982519805431366,0.8737499713897705,float32,294.857794046402,900136,85.1,87.2,501325824
fedavg,1,2.302553415298462,0.12208333611488342,0.35924777388572693,0.8945833444595337,float32,19.890545129776,900136,69.9,73.9,1025069056
fedavg,2,2.302553415298462,0.12208333611488342,0.3811880350112915,0.8837500214576721,float32,36.42724847793579,900136,83.1,85.6,566648832
fedavg,3,2.302553415298462,0.12208333611488342,0.5147764086723328,0.8345833420753479,float32,35.14702248573303,900136,84.1,91.8,322166784
fedavg,4,2.302553415298462,0.12208333611488342,0.3177269697189331,0.9020833373069763,float32,36.612098693847656,900136,75.1,94.0,233873408
fedavg,5,2.302553415298462,0.12208333611488342,0.3721183240413666,0.8845833539962769,float32,39.193294525146484,900136,82.6,91.8,321613824
fedavg,2,2.302583932876587,0.09708333015441895,0.3852085769176483,0.8774999976158142,float32,45.146812438964844,900136,80.7,90.6,368992256
fedavg,1,2.3026092052459717,0.09833333641290665,0.39653638005256653,0.8766666650772095,float32,17.84203028678894,900136,72.6,78.1,859164672
fedavg,2,2.3026092052459717,0.09833333641290665,0.4290705919265747,0.8679166436195374,float32,42.31940722465515,900136,89.5,91.5,336265216
fedavg,3,2.3026092052459717,0.09833333641290665,1.2616207599639893,0.60916668176651,float32,42.577128171920776,900136,50.1,91.2,346570752
fedavg,2,2.3025941848754883,0.09208333492279053,0.33176228404045105,0.8958333134651184,float32,40.599074363708496,900136,84.5,92.5,293593088
fedavg,3,2.3025941848754883,0.09208333492279053,0.3302665054798126,0.9012500047683716,float32,41.09740734100342,900136,87.1,95.4,179933184
fedavg,4,2.3025941848754883,0.09208333492279053,0.3265381455421448,0.9012500047683716,float32,76.35674524307251,900136,76.0,83.3,657346560
fedavg,5,2.3025941848754883,0.09208333492279053,0.3471709191799164,0.8974999785423279,float32,32.46010398864746,900136,87.1,89.3,421302272
