strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available
fedavg,2,2.302598237991333,0.08791666477918625,0.45156681537628174,0.8645833134651184,float32,42.26225447654724,900136,83.4,94.7,206712832
fedavg,3,2.302598237991333,0.08791666477918625,0.5058678984642029,0.8475000262260437,float32,42.402281522750854,900136,87.3,94.0,237068288
fedavg,4,2.302598237991333,0.08791666477918625,0.28580620884895325,0.9125000238418579,float32,39.64671587944031,900136,47.7,95.7,169820160
fedavg,5,2.302598237991333,0.08791666477918625,0.3557533919811249,0.8887500166893005,float32,326.88926553726196,900136,84.1,81.6,722505728
fedavg,2,2.3026323318481445,0.050833333283662796,0.41907942295074463,0.8741666674613953,float32,38.90527129173279,900136,84.6,89.4,415592448
fedavg,3,2.3026323318481445,0.050833333283662796,0.40119993686676025,0.8837500214576721,float32,37.50664830207825,900136,90.2,90.7,365465600
fedavg,4,2.3026323318481445,0.050833333283662796,0.3950346112251282,0.8829166889190674,float32,38.33900547027588,900136,88.7,92.0,314068992
fedavg,5,2.3026323318481445,0.050833333283662796,0.4053114056587219,0.8787500262260437,float32,294.0456795692444,900136,85.1,87.1,505462784
